"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000007047.15","1546","1481","1928","1847","2090","2920","6496","2063","2623","1312","703","566","549","624","882","761","971","990","737"
"ENSG00000007062.12","6221","8664","274","3603","6154","3127","7196","4605","7","1555","49","99","143","164","503","202","156","130","142"
"ENSG00000007080.11","2295","5354","1275","3787","2816","2730","2654","2583","2261","4651","1203","904","930","856","867","889","1011","1011","897"
"ENSG00000007129.18","151","75","59","19","96","76","50","19","47","97","6","51","21","31","41","48","18","18","32"
"ENSG00000007168.14","4359","2699","2768","2056","6039","5927","3953","5482","9179","5229","1559","1143","2210","1438","1674","1541","2051","2429","1566"
"ENSG00000007171.18","11","35","61","14","383","70","15","37","438","92","37","3","7","7","6","14","19","45","5"
"ENSG00000007174.18","28","68","5","0","26","14","5","10","4","18","3","3","4","3","9","5","0","3","0"
"ENSG00000007202.15","2577","2541","5247","4233","4006","4052","4196","4329","5690","4730","577","590","790","408","547","502","625","934","669"
"ENSG00000007216.15","22","73","13","52","39","43","1","13","75857","0","55","68","49","93","81","88","79","72","29"
"ENSG00000007237.19","2514","298","697","233","1218","18287","823","939","224","955","36","164","75","140","213","322","85","70","99"
"ENSG00000007255.10","964","4046","1829","2836","1197","1366","4802","951","1329","365","662","536","522","817","611","738","711","1056","631"
"ENSG00000007264.15","309","254","113","57","135","156","109","60","92","96","38","163","84","58","69","113","67","81","94"
"ENSG00000007306.15","155","11829","476","24","1832","111","36","1431","3","46","0","35","1","0","3","79","7","5","0"
"ENSG00000007312.13","361","101","36","24","612","217","10","107","75","22","16","61","28","26","47","65","28","37","48"
"ENSG00000007314.12","44","41","25","11","29","76","12","42","210","4","6","33","23","10","32","30","19","12","21"
"ENSG00000007341.19","346","526","328","441","343","255","268","927","674","331","148","112","158","184","118","185","186","193","114"
"ENSG00000007350.17","2","3","4","0","4","6","2","0","1","1","1","6","0","3","3","14","1","0","4"
