"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000278467.1","45","11","22","23","38","119","104","5","15","32","12","3","15","10","21","22","12","12","9","32","35"
"ENSG00000278469.1","1","0","0","3","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0"
"ENSG00000278472.1","14","16","10","1","12","2","5","2","5","6","0","2","3","4","7","6","2","7","3","6","3"
"ENSG00000278473.1","2","0","0","0","2","0","9","1","2","0","0","0","5","0","14","2","0","0","8","2","1"
"ENSG00000278475.1","3","0","0","1","4","1","5","2","0","4","1","1","2","2","8","5","1","2","0","14","2"
"ENSG00000278477.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"ENSG00000278478.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000278480.1","12","11","9","11","3","8","7","0","16","3","0","0","6","5","5","6","7","0","5","29","4"
"ENSG00000278482.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278483.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
